Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
AD TORREFORTA Equipo Rival,Jornada 09,1.0,200.0,76.0,15.0,35.0,0.43,7.0,33.0,0.21,25.0,35.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,AD TORREFORTA,True,19.0
AD TORREFORTA Equipo Rival,Jornada 10,1.0,200.0,69.0,12.0,39.0,0.31,12.0,34.0,0.35,9.0,24.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,AD TORREFORTA,REUS PLOMS SALLE,True,14.0
AD TORREFORTA Equipo Rival,Jornada 11,1.0,200.0,69.0,12.0,40.0,0.3,12.0,34.0,0.35,9.0,16.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,CB CERDANYOLA AL DIA A,AD TORREFORTA,False,-4.0
AD TORREFORTA Equipo Rival,Jornada 12,1.0,200.0,60.0,13.0,40.0,0.33,7.0,25.0,0.28,13.0,18.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,C.B. RIPOLLET A,AD TORREFORTA,True,9.0
AD TORREFORTA Equipo Rival,Jornada 13,1.0,200.0,59.0,18.0,50.0,0.36,3.0,17.0,0.18,14.0,20.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,AD TORREFORTA,CLUB NATACIO TERRASSA A,True,8.0
AD TORREFORTA Equipo Rival,Jornada 14,1.0,200.0,53.0,14.0,37.0,0.38,4.0,28.0,0.14,13.0,21.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,CLOTET SUZUKI SANT BOI A,AD TORREFORTA,True,1.0
AD TORREFORTA Equipo Rival,Jornada 15,1.0,200.0,58.0,12.0,35.0,0.34,9.0,36.0,0.25,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,AD TORREFORTA,C.B.CASTELLBISBAL A,True,7.0
AD TORREFORTA Equipo Rival,Jornada 16,1.0,200.0,79.0,14.0,29.0,0.48,11.0,29.0,0.38,18.0,27.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,AD TORREFORTA,C.E.B. PALLEJA A - TAXILINE,True,13.0
AD TORREFORTA Equipo Rival,Jornada 17,1.0,200.0,59.0,15.0,33.0,0.45,6.0,26.0,0.23,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,CB TARRAGONA B,AD TORREFORTA,False,-3.0
AD TORREFORTA Equipo Rival,Jornada 18,1.0,200.0,80.0,22.0,40.0,0.55,7.0,27.0,0.26,15.0,25.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,AD TORREFORTA,BASKET ALMEDA,True,21.0
