Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
A.E.S.E. A Equipo,Jornada 11,1.0,200.0,62.0,24.0,55.0,0.44,1.0,12.0,0.08,11.0,19.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,JAC SANTS BARCELONA -CASMAR,A.E.S.E. A,False,-7.0
A.E.S.E. A Equipo,Jornada 13,1.0,200.0,67.0,12.0,41.0,0.29,8.0,23.0,0.35,19.0,22.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,A.E.S.E. A,C.B. SANTA COLOMA A,False,-3.0
A.E.S.E. A Equipo,Jornada 13,1.0,200.0,76.0,19.0,48.0,0.4,7.0,11.0,0.64,17.0,23.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,A.E.S.E. A,UE MATARO  TC,True,5.0
A.E.S.E. A Equipo,Jornada 14,1.0,200.0,53.0,17.0,35.0,0.49,2.0,19.0,0.11,13.0,26.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,U.E. CLARET A,A.E.S.E. A,False,-14.0
A.E.S.E. A Equipo,Jornada 16,1.0,200.0,69.0,19.0,43.0,0.44,7.0,17.0,0.41,10.0,22.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,A.E.S.E. A,CBU LLORET SAMBA HOTELS A,True,9.0
A.E.S.E. A Equipo,Jornada 17,1.0,200.0,47.0,14.0,40.0,0.35,4.0,20.0,0.2,7.0,17.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,A.E.S.E. A,TEMPLE - U.E. HORTA A,False,-5.0
A.E.S.E. A Equipo,Jornada 17,1.0,200.0,74.0,20.0,43.0,0.47,5.0,18.0,0.28,19.0,28.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,AEC COLLBLANC - ITACA,A.E.S.E. A,False,-8.0
A.E.S.E. A Equipo,Jornada 18,1.0,200.0,52.0,18.0,41.0,0.44,2.0,20.0,0.1,10.0,13.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,EL MASNOU BASQUETBOL,A.E.S.E. A,False,-19.0
A.E.S.E. A Equipo,Jornada 19,1.0,200.0,70.0,17.0,38.0,0.45,8.0,19.0,0.42,12.0,19.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,A.E.S.E. A,AE MINGUELLA A-DRIVIM,False,-12.0
A.E.S.E. A Equipo,Jornada 21,1.0,200.0,65.0,23.0,49.0,0.47,5.0,17.0,0.29,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,UE.MONTGAT - A,A.E.S.E. A,False,-15.0
A.E.S.E. A Equipo,Jornada 22,1.0,200.0,64.0,19.0,40.0,0.47,4.0,18.0,0.22,14.0,28.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,A.E.S.E. A,MARISTES ADEMAR,True,2.0
A.E.S.E. A Equipo,Jornada 22,1.0,200.0,56.0,16.0,39.0,0.41,4.0,15.0,0.27,12.0,22.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,CLUB BASQUET CIUTAT VELLA,A.E.S.E. A,False,-17.0
A.E.S.E. A Equipo,Jornada 24,1.0,200.0,58.0,23.0,45.0,0.51,2.0,16.0,0.12,6.0,13.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,A.E.S.E. A,JAC SANTS BARCELONA -CASMAR,True,11.0
A.E.S.E. A Equipo,Jornada 24,1.0,200.0,68.0,17.0,36.0,0.47,5.0,20.0,0.25,19.0,31.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,CB BESCANO,A.E.S.E. A,False,-7.0
A.E.S.E. A Equipo,Jornada 26,1.0,200.0,69.0,26.0,54.0,0.48,4.0,11.0,0.36,5.0,14.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,UE MATARO  TC,A.E.S.E. A,False,-4.0
A.E.S.E. A Equipo Rival,Jornada 01,1.0,200.0,56.0,12.0,33.0,0.36,9.0,24.0,0.38,5.0,15.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,U.E. CLARET A,A.E.S.E. A,True,6.0
