Nombre,Condicion,Partidos,Minutos,Puntos,T2 Anotados,T2 Lanzados,% T2,T3 Anotados,T3 Lanzados,% T3,T1 Anotados,T1 Lanzados,% T1,Reb. Ofensivos,Reb. Defensivos,Rebotes,Asistencias,Robos,Perdidas,Tapones,Tapones Recibidos,Mates,Faltas Cometidas,Faltas Recibidas,Valoracion,% Asist,% Tiro Efectivo,% Tiro Verdadero,GScore,TLR,Posesiones Anotadas,Posesiones No Anotadas,Floor Percentage,Puntos por Tiro,% Rebotes,% Rebotes Def,% Rebotes Of,% Robos,Toques,Uso,Versatilidad,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pérdidas Mal Pase,Perdidas Balón Controlado,Otras Perdidas,Faltas de Tiro,Faltas No de Tiro,Técnicas,Antideportivas,Ofensivas,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p
b'ERIC MANZANARES IZQUIERDO',3 Visitante,2.0,12.5,9.0,1.5,2.0,0.75,1.5,2.0,0.75,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,0.85,6.4,18.75,3.9,1.3,75.0,1.88,0.0,0.0,0.0,0.0,6.47,23.82,0.0,3.0,200.0,98.34,101.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',4 Banquillo,4.0,9.25,4.5,0.75,1.25,0.6,0.75,1.25,0.6,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.71,2.85,7.5,1.95,1.15,62.9,1.5,0.0,0.0,0.0,0.0,3.83,18.77,0.0,1.0,163.64,94.8,68.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',5 Dificil,2.0,6.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.99,0.0,-1.0,90.97,91.75,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',5 Facil,2.0,12.5,9.0,1.5,2.0,0.75,1.5,2.0,0.75,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,0.85,6.4,18.75,3.9,1.3,75.0,1.88,0.0,0.0,0.0,0.0,6.47,23.82,0.0,3.0,200.0,98.34,101.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'ERIC MANZANARES IZQUIERDO',7 Ultimos 3,3.0,12.33,6.0,1.0,1.67,0.6,1.0,1.67,0.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.75,0.71,3.8,10.0,2.6,1.53,62.9,1.5,0.0,0.0,0.0,0.0,5.1,18.77,0.0,1.33,163.64,94.8,68.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN BELMONTE CABALLOL',1 Media,4.0,19.0,5.25,2.25,5.75,0.39,0.0,0.0,0.0,0.75,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.39,0.41,0.82,3.26,2.7,3.65,42.52,0.78,0.0,0.0,0.0,0.0,7.08,18.53,0.0,-2.5,87.5,94.41,-6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN BELMONTE CABALLOL',2 Derrota,1.0,32.0,8.0,4.0,11.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.36,0.36,0.7,0.0,4.0,7.0,36.36,0.73,0.0,0.0,0.0,0.0,11.0,17.33,0.0,-4.5,72.73,91.34,-18.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN BELMONTE CABALLOL',2 Victoria,3.0,14.67,4.33,1.67,4.0,0.42,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.42,0.44,0.87,8.33,2.27,2.53,47.22,0.83,0.0,0.0,0.0,0.0,5.79,18.84,0.0,-1.83,100.0,95.56,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN BELMONTE CABALLOL',3 Local,2.0,23.0,4.5,2.0,7.5,0.27,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.27,0.28,-1.55,3.33,2.3,5.6,29.11,0.53,0.0,0.0,0.0,0.0,8.47,18.62,0.0,-5.25,60.0,90.66,-30.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'FERRAN BELMONTE CABALLOL',3 Visitante,2.0,15.0,6.0,2.5,4.0,0.62,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.62,0.61,3.2,12.5,3.1,1.7,64.58,1.25,0.0,0.0,0.0,0.0,5.64,18.21,0.0,0.25,133.33,98.27,35.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
